check_id,category,check_name,severity,level,status,notes
C001,Crawlability & Indexability,robots.txt missing,Warning,Site,New,No robots.txt found at domain root
C002,Crawlability & Indexability,robots.txt not valid (syntax errors),Warning,Site,New,robots.txt contains malformed directives
C003,Crawlability & Indexability,robots.txt blocks entire site,Error,Site,New,Disallow: / found for relevant user-agents
C004,Crawlability & Indexability,robots.txt blocks CSS/JS resources,Warning,Site,New,Rendering-critical assets disallowed
C005,Crawlability & Indexability,sitemap.xml missing,Warning,Site,New,No sitemap referenced in robots.txt or at /sitemap.xml
C006,Crawlability & Indexability,sitemap.xml not valid XML,Error,Site,New,Sitemap fails to parse
C007,Crawlability & Indexability,sitemap contains 4XX/5XX URLs,Error,Site,New,URLs listed in sitemap return client/server errors
C008,Crawlability & Indexability,sitemap contains redirected URLs,Warning,Site,New,URLs listed in sitemap 3XX-redirect elsewhere
C009,Crawlability & Indexability,sitemap contains noindex URLs,Warning,Site,New,URLs in sitemap carry a noindex directive
C010,Crawlability & Indexability,sitemap not referenced in robots.txt,Notice,Site,New,Sitemap exists but isn't declared
C011,Crawlability & Indexability,page blocked by robots.txt,Error,Page,Existing,Crawler already checks this via robotparser
C012,Crawlability & Indexability,page has noindex directive,Warning,Page,Existing,meta robots or X-Robots-Tag contains noindex
C013,Crawlability & Indexability,page has nofollow on all outlinks,Warning,Page,New,meta robots nofollow prevents link equity flow
C014,Crawlability & Indexability,page not crawlable (timeout/DNS/conn error),Error,Page,Existing,Request failed outright
C015,Crawlability & Indexability,"page returns soft 404 (200 status, error-like content)",Warning,Page,New,Heuristic: thin/empty body with 'not found' language but HTTP 200
C016,Crawlability & Indexability,conflicting robots signals (meta vs X-Robots-Tag),Warning,Page,New,HTTP header and HTML meta robots disagree
C017,Crawlability & Indexability,canonical points to a blocked/noindex page,Error,Page,New,Canonical target is itself non-indexable
C018,Crawlability & Indexability,canonical points to a different domain,Warning,Page,New,"Cross-domain canonical, verify intent"
C019,Crawlability & Indexability,canonical chain (canonical points to a page with its own different canonical),Warning,Page,New,Canonical does not resolve to a stable target
C020,Crawlability & Indexability,paginated page missing rel=next/prev or self-canonical,Notice,Page,New,Pagination signals absent
C021,HTTPS & Security,site not served over HTTPS,Error,Site,New,Homepage/any page loads over plain HTTP
C022,HTTPS & Security,HTTP URLs present in sitemap,Error,Site,New,Sitemap lists http:// instead of https://
C023,HTTPS & Security,mixed content on page,Error,Page,New,HTTPS page loads http:// sub-resources (img/script/css)
C024,HTTPS & Security,no automatic HTTP->HTTPS redirect,Error,Site,New,http:// version does not redirect to https://
C025,HTTPS & Security,missing HSTS header,Warning,Site,New,Strict-Transport-Security header absent
C026,HTTPS & Security,SSL certificate expired,Error,Site,New,Certificate validity end date has passed
C027,HTTPS & Security,SSL certificate expiring soon (<30 days),Warning,Site,New,Certificate nearing expiry
C028,HTTPS & Security,SSL certificate hostname mismatch,Error,Site,New,Cert CN/SAN doesn't match requested host
C029,HTTPS & Security,outdated TLS protocol supported (TLS 1.0/1.1),Warning,Site,New,Legacy insecure protocol still negotiable
C030,HTTPS & Security,"missing security headers (X-Content-Type-Options, X-Frame-Options, CSP)",Notice,Page,New,Common hardening headers absent
C031,Redirects,redirect chain (2+ hops),Warning,Page,New,URL passes through multiple redirects before resolving
C032,Redirects,redirect loop,Error,Page,New,Redirect chain returns to a previously visited URL
C033,Redirects,temporary redirect (302/307) used where permanent intended,Warning,Page,New,3XX semantics likely mismatched with intent
C034,Redirects,internal links pointing to a redirecting URL instead of final target,Warning,Page,New,Wastes crawl budget / link equity
C035,Redirects,redirect to a 4XX/5XX destination,Error,Page,New,Redirect resolves to a broken page
